ID,description,VN(name),VV(version),VT(type),VRC(root cause),VP(position),VAT(attacker type),VAV(attack vector),VR(result)
CVE-2014-3634,"rsyslog before 7.6.6 and 8.x before 8.4.1 and sysklogd 1.5 and earlier allows remote attackers to cause a denial of service (crash), possibly execute arbitrary code, or have other unspecified impact via a crafted priority (PRI) value that triggers an out-of-bounds array access.",rsyslog |n sysklogd,before 7.6.6 |n 8.x before 8.4.1 |n 1.5 and earlier,,,,remote attackers,a crafted priority (PRI) value that triggers an out-of-bounds array access,"cause a denial of service (crash), possibly execute arbitrary code, or have other unspecified impact"
CVE-2014-2588,Directory traversal vulnerability in servlet/downloadReport in McAfee Asset Manager 6.6 allows remote authenticated users to read arbitrary files via a .. (dot dot) in the reportFileName parameter.,McAfee Asset Manager,6.6,Directory traversal vulnerability,,servlet/downloadReport,remote authenticated users,a .. (dot dot) in the reportFileName parameter,read arbitrary files 
CVE-2014-3327,"The EnergyWise module in Cisco IOS 12.2, 15.0, 15.1, 15.2, and 15.4 and IOS XE 3.2.xXO, 3.3.xSG, 3.4.xSG, and 3.5.xE before 3.5.3E allows remote attackers to cause a denial of service (device reload) via a crafted IPv4 packet, aka Bug ID CSCup52101.",Cisco IOS |n IOS XE,12.2 |n 15.0 |n 15.1 |n 15.2 |n 15.4 |n 3.2.xXO |n 3.3.xSG |n 3.4.xSG |n 3.5.xE before 3.5.3E,,,EnergyWise module,remote attackers,a crafted IPv4 packet,cause a denial of service (device reload) 
CVE-2014-2856,"Cross-site scripting (XSS) vulnerability in scheduler/client.c in Common Unix Printing System (CUPS) before 1.7.2 allows remote attackers to inject arbitrary web script or HTML via the URL path, related to the is_path_absolute function.",Common Unix Printing System (CUPS),before 1.7.2,Cross-site scripting (XSS) vulnerability,,scheduler/client.c,remote attackers ,"the URL path, related to the is_path_absolute function",inject arbitrary web script or HTML
CVE-2014-1304,"WebKit, as used in Apple Safari before 6.1.3 and 7.x before 7.0.3, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than other WebKit CVEs listed in APPLE-SA-2014-04-01-1.",Apple Safari,before 6.1.3 and 7.x before 7.0.3,,,WebKit,remote attackers,a crafted web site,execute arbitrary code or cause a denial of service (memory corruption and application crash)
CVE-2014-3576,The processControlCommand function in broker/TransportConnection.java in Apache ActiveMQ before 5.11.0 allows remote attackers to cause a denial of service (shutdown) via a shutdown command.,Apache ActiveMQ,before 5.11.0 ,,,processControlCommand function in broker/TransportConnection.java,remote attackers,a shutdown command,cause a denial of service (shutdown)
CVE-2014-4117,"Microsoft Office 2007 SP3, Word 2007 SP3, Office 2010 SP1 and SP2, Word 2010 SP1 and SP2, Office for Mac 2011, Office Compatibility Pack SP3, Word Automation Services on SharePoint Server 2010 SP1 and SP2, and Word Web Apps 2010 Gold, SP1, and SP2 allow remote attackers to execute arbitrary code via crafted properties in a Word document, aka ""Microsoft Word File Format Vulnerability.""",Microsoft Office |n Word |n Office for Mac |n Office Compatibility Pack |n Word Automation Services on SharePoint Server |n Word Web Apps,2007 SP3 |n 2010 SP1 and SP2 |n 2011 |n SP3 |n 2010 Gold |n SP1 |n SP2,Microsoft Word File Format Vulnerability,,,remote attackers,crafted properties in a Word document,execute arbitrary code
CVE-2014-2818,"Microsoft Internet Explorer 10 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability.""",Microsoft Internet Explorer,10,Internet Explorer Memory Corruption Vulnerability,,,remote attackers,a crafted web site,execute arbitrary code or cause a denial of service (memory corruption)
CVE-2014-6525,"Unspecified vulnerability in the Oracle Web Applications Desktop Integrator component in Oracle E-Business Suite 11.5.10.2, 12.0.6, 12.1.3, 12.2.2, 12.2.3, and 12.2.4 allows remote authenticated users to affect integrity via unknown vectors related to Templates.",Oracle E-Business Suite,11.5.10.2 |n 12.0.6 |n 12.1.3 |n 12.2.2 |n 12.2.3 |n 12.2.4,,,Oracle Web Applications Desktop Integrator component,remote authenticated users,unknown vectors related to Templates,affect integrity
CVE-2014-2342,Triangle MicroWorks SCADA Data Gateway before 3.00.0635 allows remote attackers to cause a denial of service (excessive data processing) via a crafted DNP3 packet.,Triangle MicroWorks SCADA Data Gateway,before 3.00.0635,,,,remote attackers,a crafted DNP3 packet,cause a denial of service (excessive data processing)
CVE-2014-7642,"The Pegasus Airlines (aka com.wPegasusAirlines) application 0.84.13503.96707 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Pegasus Airlines |n com.wPegasusAirlines |n Android,0.84.13503.96707,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-8601,"PowerDNS Recursor before 3.6.2 does not limit delegation chaining, which allows remote attackers to cause a denial of service (""performance degradations"") via a large or infinite number of referrals, as demonstrated by resolving domains hosted by ezdns.it.",PowerDNS Recursor,before 3.6.2,,does not limit delegation chaining,,remote attackers,a large or infinite number of referrals,"cause a denial of service (""performance degradations"")"
CVE-2014-6995,"The adidas eyewear (aka com.adidasep.eyewear) application 1.2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",adidas eyewear |n com.adidasep.eyewear |n Android,1.2,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-0338,Multiple cross-site scripting (XSS) vulnerabilities in the firewall policy management pages in WatchGuard Fireware XTM before 11.8.3 allow remote attackers to inject arbitrary web script or HTML via the pol_name parameter.,WatchGuard Fireware XTM,before 11.8.3,Multiple cross-site scripting (XSS) vulnerabilities,,firewall policy management pages,remote attackers,pol_name parameter,inject arbitrary web script or HTML
CVE-2014-7246,"The Core Server in OpenAM 9.5.3 through 9.5.5, 10.0.0 through 10.0.2, 10.1.0-Xpress, and 11.0.0 through 11.0.2, when deployed on a multi-server network, allows remote authenticated users to cause a denial of service (infinite loop) via a crafted cookie in a request.",OpenAM,9.5.3 through 9.5.5 |n 10.0.0 through 10.0.2 |n 10.1.0-Xpress |n 11.0.0 through 11.0.2,,deployed on a multi-server network,Core Server,remote authenticated users,a crafted cookie in a request,cause a denial of service (infinite loop)
CVE-2014-5985,"The Animal Kaiser Zangetsu (aka com.wAnimalKaiserZangetsu) application 0.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Animal Kaiser Zangetsu |n com.wAnimalKaiserZangetsu |n Android,0.1,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-3544,"Cross-site scripting (XSS) vulnerability in user/profile.php in Moodle through 2.3.11, 2.4.x before 2.4.11, 2.5.x before 2.5.7, 2.6.x before 2.6.4, and 2.7.x before 2.7.1 allows remote authenticated users to inject arbitrary web script or HTML via the Skype ID profile field.",Moodle,through 2.3.11 |n 2.4.x before 2.4.11 |n 2.5.x before 2.5.7 |n 2.6.x before 2.6.4 |n 2.7.x before 2.7.1,Cross-site scripting (XSS) vulnerability,,user/profile.php,remote authenticated users,Skype ID profile field,inject arbitrary web script or HTML
CVE-2014-5087,"A vulnerability exists in Sphider Search Engine prior to 1.3.6 due to exec calls in admin/spiderfuncs.php, which could let a remote malicious user execute arbitrary code.",Sphider ,prior to 1.3.6,,,Search Engine,remote malicious user,exec calls in admin/spiderfuncs.php,execute arbitrary code
CVE-2014-8702,"Wonder CMS 2014 allows remote attackers to obtain sensitive information by logging into the application with an array for the password, which reveals the installation path in an error message.",Wonder CMS,2014,,,,remote attackers,logging into the application with an array for the password,obtain sensitive information
CVE-2014-5539,"The Michael Baker FCU (aka air.com.creditunionhomebanking.mb155) application 1.2.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Michael Baker FCU |n air.com.creditunionhomebanking.mb155 |n Android,1.2.0,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-0884,Cross-site scripting (XSS) vulnerability in the Admin Web UI in IBM Lotus Protector for Mail Security 2.8.x before 2.8.1-22905 allows remote authenticated users to inject arbitrary web script or HTML via unspecified vectors.,Mail Security,2.8.x before 2.8.1-22905,Cross-site scripting (XSS) vulnerability,,Admin Web UI in IBM Lotus Protector,remote authenticated users,,inject arbitrary web script or HTML
CVE-2014-9415,Huawei eSpace Desktop before V100R001C03 allows local users to cause a denial of service (program exit) via a crafted QES file.,Huawei eSpace Desktop,before V100R001C03,,,,local user,a crafted QES file,cause a denial of service (program exit)
CVE-2014-7707,"The Outdoor Design And Living (aka com.pocketmagsau.outdoordesignandliving) application @7F080181 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Outdoor Design And Living |n com.pocketmagsau.outdoordesignandliving |n Android,@7F080181,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-5763,"The Kid Mode: Free Games + Lock (aka com.zoodles.kidmode) application 4.9.8 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Free Games + Lock |n com.zoodles.kidmode |n Android,4.9.8,,does not verify X.509 certificates from SSL servers,Kid Mode,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-6483,"Unspecified vulnerability in the Application Express component in Oracle Database Server before 4.2.6 allows remote authenticated users to affect confidentiality, integrity, and availability via unknown vectors.",Oracle Database Server,before 4.2.6,,,Application Express component,remote authenticated users,unknown vectors,"affect confidentiality, integrity, and availability"
CVE-2014-4266,Unspecified vulnerability in Oracle Java SE 7u60 and 8u5 allows remote attackers to affect integrity via unknown vectors related to Serviceability.,Oracle Java SE,7u60 |n 8u5,,,,remote attackers,unknown vectors related to Serviceability,affect integrity
CVE-2014-0086,"The doFilter function in webapp/PushHandlerFilter.java in JBoss RichFaces 4.3.4, 4.3.5, and 5.x allows remote attackers to cause a denial of service (memory consumption and out-of-memory error) via a large number of malformed atmosphere push requests.",JBoss RichFaces,4.3.4 |n 4.3.5 |n 5.x,,,doFilter function in webapp/PushHandlerFilter.java,remote attackers,a large number of malformed atmosphere push requests,cause a denial of service (memory consumption and out-of-memory error)
CVE-2014-9916,Multiple cross-site scripting (XSS) vulnerabilities in Bilboplanet 2.0 allow remote attackers to inject arbitrary web script or HTML via the (1) tribe_name or (2) tags parameter in a tribes page request to user/ or the (3) user_id or (4) fullname parameter to signup.php.,Bilboplanet,2,Multiple cross-site scripting (XSS) vulnerabilities,,,remote attackers,tribe_name |n  tags parameter in a tribes page request to user/ |n user_id |n fullname parameter to signup.php,inject arbitrary web script or HTML
